Author,author_id,author_country
Eric Eustace Williams,ewilliams,trinidad_&_tobago
Hubert Nigel Thomas,hnthomas,st._vincent
Errol Benjamin,ebenjamin,trinidad_&_tobago
Jacques Laroche,jlaroche,haiti
Dennis Scott,dscott,jamaica
Janice Shinebourne,jshinebourne,guyana
Jean D'Costa,jdcosta,jamaica
Dimitry Elias Léger,deleger,cuba
Jennie Wheatley,jwheatley,british_virgin_islands
Dionne Brand,dbrand,trinidad_&_tobago
John Jacob Thomas,jjthomas,trinidad_&_tobago
Evan Jones,ejones,jamaica
Yanitzia Canetti,ycanetti,cuba
Zoukouyanyan Compagnie,zcompagnie,french_guiana
Paul Keens-Douglas,pkeens-douglas,
Paul Marlee,pmarlee,suriname
Everard C. Palmer,epalmer,jamaica
Persephone Braham,pbraham,cuba
Francie Latour,flatour,united_states
Francis Carco,fcarco,new_caledonia
Peter Abrahams,pabrahams,jamaica
Peter Josie,pjosie,st._lucia
Peter Kempadoo,pkempadoo,french_guiana
Petreine Archer,parcher,jamaica
Philip Brenner,pbrenner,cuba
Philippe Thoby-Marcelin,ptmarcelin,haiti
Frank Birbalsingh,fbirdlsingh,Guyana
Eddie Vega,evega,cuba
Pierre Marcelin,pmarcelin,france
Pompée Valentin Vastey,pvvastey,haiti
Fred D'Aguiar,fdaguiar,guyana
Frédéric Marcelin,fmarcelin,haiti
R. L. C. Aarons,rlcaarons,jamaica
Rabindranath Maharaj,rmaharaj,trinidad_&_tobago
Edgar Austin Mittelholzer,eamittelholzer,guyana
Rachel Manley,rmanley,jamaica
Raoul B. Altidor,rbaltidor,haiti
Edison T Williams,etwilliams,barbados
Edith Clarke,eclarke,jamaica
Reinaldo Arenas,rarenas,cuba
Edmond Lapompe-Paironne,edmondlapompe-paironne,martinique
René Bonneville,rbonneville,martinique
Edris Saint-Amand,esamand,haiti
René Maran,rmaran,martinique
Edward Baugh,ebaugh,jamaica
George Campbell,gcampbell,jamaica
Edward Kamau Brathwaite,ekbrathwaite,barbados
Eintou Pearl Springer,epspringer,trinidad_&_tobago
Renée Clémentine Lucien,rclucien,martinique
Elizabeth Acevedo,eacevedo,dominican_republic
George Lamming; Francish H Marshall,glamming; fhmarshall,
Robert Anthoni,ranthoni,trinidad_&_tobago
Elizabeth Walcott-Hackshaw,ewalcotthackshaw,trinidad_&_tobago
Robert Maguire,rmaguire,america
Elsie Augustave,eaugustave,haiti
Georges Sylvain,gsylvain,haiti
Roberto Valero,rvalero,cuba
Roderick Walcott,rwalcott,
Gina Picart,gpicart,cuba
Roger Dorsinville,rodorsinville,haiti
Giselle Liza Anatol,glanatol,trinidad_&_tobago
Rooplall Monar,rmonar,guyana
Gladys Triana,gtriana,cuba
Gordon Korman,gkorman,canada
Gregory Thompson,gthompson,trinidad_&_tobago
Guillermo Cabrera Infante,gcinfante,cuba
Luis Rafael Sánchez,lrsanchez,puerto_rico
Lyne-Marie Stanley,lmstanley,french_guiana
Machel Montano,mmontano,trinidad_&_tobago
Mahadai Das,msdas,guyana
Mara Etienne-Manley,memanley,jamaica
Marcela Breton,mbreton,united_states
Marcellus Taylor,mtaylor,united_states
Margarita Suero-Duran,msduran,united_states
Mariano Brull,mbrull,cuba
Marie Arnold,marnold,haiti
Marie Célie Agnant,mcelieagnant,haiti
Mercedes Abad,mabad,spain
Merle Collins,mcollins,grenada
Mervyn Morris,mmorris,jamaica
Marie-Magdeleine Carbet,mmcarbet,martinique
Marina Salandy-Brown,msbrown,trinidad_&_tobago
Michael Aubertin,maubertin,st._lucia
Michael Cozier,mcozier,puerto_rico
Michael Smith,msmith,jamaica
Michael Thelwell,mthelwell,jamaica
Michel Maxwell Philip,mmphilip,trinidad_&_tobago
Michelle Paula Barton-Romeo,mpbarton-romeo,trinidad_&_tobago
Miguel Collazo,cmiguel,cuba
Marion Bethel,mbethel,the_bahamas
Marta Caminero-Santangelo,mcaminerosantangelo,cuba
Martha Blanchard,mblandchard,st._lucia
Maude Heurtelou,mheurtelou,haiti
Maureen Warner-Lewis,mwlewis,trinidad_&_tobago
Max A Antoine,maantoine,haiti
Miguel Ángel Asturias,maasturias,guatemala
Myriam Warner-Vieyra,mwvieyra,guadeloupe
Narmala Shewcharan,nshewcharan,guyana
Neville Dawes,nedawes,nigeria
O.R Dathorne,ordathorne,guyana
Odimumba Kwamdela,okwamdela,barbados
Edouard Mokwe,,united_states
Helen Klonaris,hklonaris,the_bahamas
Maisy Card,mcard,jamaica
